"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication API","1","0","Generate token with valid credentials","0"
"0","","0","Booking API","3","0","Create booking with multiple data sets","0"
"0","","0","Booking API","1","0","Get booking by ID","0"
"0","","0","Authentication API","1","0","Generate token with invalid credentials","0"
"0","","0","Booking API","1","0","Get all bookings","0"
"0","","0","Booking API","1","0","Partially update booking","0"
"0","","0","Booking API","1","0","Update booking with full payload","0"
"0","","0","Booking API","1","0","Delete booking","0"
